EventsID,SiteCode,EventCode,Personnel,CrewLeader,SiteName,TribTo,Date,TimeStart,TimeEnd,MouthLat,MouthLon,SiteLat,SiteLon,Discharge,WaterTemp,pH,SpecCond,Alk,DO,Hardness,AirTemp,Turbidity,Format,Unassessed,Connectivity,Loyalsock,FarmStreams,Other,Location,EventNotes,Weather,WQTime
334,UnT18987t.Spruce,201307.UnT18987t.Spruce,,,Un.named.Tributary.18987.to.Spruce.Run..Running.Gap.Run.,Spruce Run,7/2/2013,,,41.02479,-77.05643,41.02479,-77.05643,,16,5.82,26.6,3.6,,10,,,Single,Unassessed,,,,,At mouth,,,
335,UnT18988o.Spruce,201307.UnT18988o.Spruce,,,Un.named.Tributary.18988.of.Spruce.Run.,Spruce Run,7/2/2013,,,41.03426,-77.06194,41.03426,-77.06194,,16.3,5.7,23.2,4.8,,10,,,Single,Unassessed,,,,,At mouth,,,
336,UnT18989t.Spruce,201307.UnT18989t.Spruce,,,Un.named.Tributary.18989.to.Spruce.Run,Spruce Run,7/2/2013,,,41.02213,-77.07937,41.02213,-77.07937,,15.6,5.75,25.3,5.9,,11,,,Single,Unassessed,,,,,At mouth,,,
337,UnT18990t.Spruce,201307.UnT18990t.Spruce,,,Un.named.Tributary.18990.to.Spruce.Run,Spruce Run,7/2/2013,,,41.02013,-77.09033,41.02013,-77.09033,,15.2,5.32,20.5,5.4,,10,,,Single,Unassessed,,,,,At mouth,,,
338,UnT18991t.Spruce,201307.UnT18991t.Spruce,,,Un.named.Tributary.18991.to.Spruce.Run,Spruce Run,7/2/2013,,,41.01873,-77.10476,41.01859,-77.10477,,13.9,4.97,20,4.5,,12,,,Single,Unassessed,,,,,At mouth,,,
339,UnT18993t.Spruce,201307.UnT18993t.Spruce,,,Un.named.Tributary.18993.to.Spruce.Run,Spruce Run,7/2/2013,,,41.01077,-77.1164,41.01077,-77.11634,,14.1,4.84,18.3,5.5,,11,,,Single,Unassessed,,,,,At mouth,,,
340,UnT19199t.WhiteDeer,201307.UnT19199t.WhiteDeer,,,Un.named.Tributary.19199.to.White.Deer.Creek,White Deer Creek,7/2/2013,,,41.07109,-77.02145,41.07109,-77.02145,,17,6.68,74,25.4,,29,,,Single,Unassessed,,,,,At mouth,,,
341,UnT19203t.WhiteDeer,201307.UnT19203t.WhiteDeer,,,Un.named.Tributary.19203.to.White.Deer.Creek..Lyman.Gap.,White Deer Creek,7/2/2013,,,41.06572,-77.04522,41.06571,-77.04524,,15.4,6.21,31.5,7.6,,17,,,Single,Unassessed,,,,,At mouth,,,
342,UnT19209t.Mile,201307.UnT19209t.Mile,,,Un.named.Tributary.19209.to.Mile.Run,Mile Run,7/2/2013,,,41.07627,-77.07166,41.07623,-77.07166,,14.4,5.59,27.3,2.5,,6,,,Single,Unassessed,,,,,At mouth,,,
343,UnT19210t.Mile,201307.UnT19210t.Mile,,,Un.named.Tributary.19210.to.Mile.Run,Mile Run,7/2/2013,,,41.07721,-77.07411,41.07721,-77.07411,,14.1,6.13,28.9,6.3,,11,,,Single,Unassessed,,,,,At mouth,,,
344,UnT20017o.Kettle,201307.UnT20017o.Kettle,,,Un.named.Tributary.20017.of.Kettle.Creek,Kettle Creek,7/10/2013,,,41.41415,-76.66441,41.41414,-76.66442,,16.6,6.79,25.6,6,,11,,,Single,Unassessed,,,,,At mouth,,,
345,UnT20087t.Elk,201307.UnT20087t.Elk,,,Un.named.Tributary.20087.to.Elk.Creek,Elk Creek,7/10/2013,,,41.49178,-76.69033,41.49194,-76.69016,,15.2,6.49,51.6,15,,20,,,Single,Unassessed,,,,,At mouth,,,
346,UnT20122o.Elk,201307.UnT20122o.Elk,,,Un.named.Tributary.20122.of.Elk.Creek,Elk Creek,7/10/2013,,,41.54161,-76.66578,41.56727,-76.63781,,18,6.78,27.2,7.2,,17,,,Single,Unassessed,,,,,Gamelands 12. Right trib facing upstream. Streams flows under Hatch Road next to Garden spot hunting Club,,,
347,UnT20126o.Elk,201307.UnT20126o.Elk,,,Un.named.Tributary.20126.of.Elk.Creek,Elk Creek,7/10/2013,,,41.55166,-76.65289,41.55146,-76.65254,,17.8,7.61,72.5,21.2,,33,,,Single,Unassessed,,,,,Just above mouth at Camp on SR 4008 and eldersville Rd,,,
348,UnT20129o.Elk,201307.UnT20129o.Elk,,,Un.named.Tributary.20129.of.Elk.Creek,Elk Creek,7/10/2013,,,41.56766,-76.63859,41.56775,-76.63833,,17.2,6.73,26.8,6.1,,13,,,Single,Unassessed,,,,,Gamelands 12. Left trib facing upstream along Hatch Road near Garden spot hunting Club,,,
349,UnT20138t.Elk,201307.UnT20138t.Elk,,,Un.named.Tributary.20138.to.Elk.Creek,Elk Creek,7/10/2013,,,41.563,-76.6842,41.56346,-76.68424,,18.6,6.36,17.7,0.9,,8,,,Single,Unassessed,,,,,Along north street at mouth to Elk,,,
350,UnT20332t.Loyalsock,201307.UnT20332t.Loyalsock,,,Un.named.Tributary.20332.to.Loyalsock.Creek,Loyalsock Creek,7/10/2013,,,41.46487,-76.55123,41.46382,-76.55209,,15.5,7.31,56,19.5,,26,,,Single,Unassessed,,,,,65m up from Rt 87 culvert. Parts go dry,,,
351,UnT20333t.Loyalsock,201307.UnT20333t.Loyalsock,,,Un.named.Tributary.20333.to.Loyalsock.Creek..Crane.Run.,Loyalsock Creek,7/10/2013,,,41.4639,-76.54965,41.46391,-76.54964,,15.9,6.67,30.4,2,,13,,,Single,Unassessed,,,,,At mouth,,,
352,UnT20334t.Loyalsock,201307.UnT20334t.Loyalsock,,,Un.named.Tributary.20334.to.Loyalsock.Creek..Vinegar.Run.,Loyalsock Creek,7/10/2013,,,41.46047,-76.54592,41.45952,-76.54617,,15.8,5.39,23.2,1.3,,10,,,Single,Unassessed,,,,,At mouth,,,
353,Buck.Rock,201307.Buck.Rock,,,Buck.Run,Rock Run,7/11/2013,,,41.51858,-76.91225,41.51858,-76.91225,,17.2,4.61,22.3,0,,5,,,Single,Unassessed,,,,,At mouth,,,
354,Hound.Rock,201307.Hound.Rock,,,Hound.Run,Rock Run,7/11/2013,,,41.53309,-76.89374,41.53357,-76.89409,,15.9,5.44,19.6,1,,7,,,Single,Unassessed,,,,,At bridge on Rock Run Road,,,
355,Miners.Rock,201307.Miners.Rock,,,Miner.s.Run,Rock Run,7/11/2013,,,41.51503,-76.91631,41.51594,-76.91656,,17,4.71,25.5,0.5,,7,,,Single,Unassessed,,,,,At bridge on rock Run Road,,,
356,UnT20018t.Kettle,201307.UnT20018t.Kettle,,,Un.named.Tributary.20018.to.Kettle.Creek,Kettle Creek,7/11/2013,,,41.4114,-76.65617,41.41142,-76.65619,,16.2,6.54,22.7,2.5,,4.5,,,Single,Unassessed,,,,,At mouth.,,,
357,UnT20041o.Dry,201307.UnT20041o.Dry,,,Un.named.Tributary.20041.of.Dry.Run,Dry Run,7/11/2013,,,41.42819,-76.65167,41.42871,-76.65239,,16.8,4.36,29.4,0,,,,,Single,Unassessed,,,,,At mouth,,,
358,UnT20721t.RockLycoming,201307.UnT20721t.RockLycoming,,,Un.named.Tributary.20721.to.Rock.Run,Rock Run (Lycoming Creek),7/11/2013,,,41.50613,-76.93618,41.50623,-76.93623,,14.5,5.7,24,1.2,,,,,Single,Unassessed,,,,,Mouth.,,,
359,UnT20722t.Rock,201307.UnT20722t.Rock,,,Un.named.Tributary.20722.to.Rock.Run,Rock Run,7/11/2013,,,41.50613,-76.92652,41.50823,-76.92644,,15.1,7.02,28.3,7.6,,,,,Single,Unassessed,,,,,At mouth,,,
360,UnT20732t.Rock,201307.UnT20732t.Rock,,,Un.named.Tributary.20732.to.Rock.Run,Rock Run,7/11/2013,,,41.51592,-76.91395,41.51592,-76.91395,,14.5,5.97,21.5,0.7,,9,,,Single,Unassessed,,,,,At mouth,,,
361,UnT19952t.Loyalsock,201307.UnT19952t.Loyalsock,,,Un.named.Tributary.19952.to.Loyalsock.Creek,Loyalsock Creek,7/12/2013,,,41.37871,-76.82663,41.37941,-76.82607,,19.2,6.98,65.2,17.1,,,,,Single,Unassessed,,,,,Mouth. Stream has been diverted for N.C. Game Farm,,,
362,UnT19953o.Loyalsock,201307.UnT19953o.Loyalsock,,,Un.named.Tributary.19953.of.Loyalsock.Creek,Loyalsock Creek,7/12/2013,,,41.38065,-76.82313,41.38065,-76.82314,,,,,,,,,,Single,Unassessed,,,,,Mouth.,,,
363,UnT19954o.Loyalsock,201307.UnT19954o.Loyalsock,,,Un.named.Tributary.19954.of.Loyalsock.Creek,Loyalsock Creek,7/12/2013,,,41.38316,-76.81636,41.38316,-76.81636,,12.8,6.47,52.6,13,,,,,Single,Unassessed,,,,,Mouth. Stream has been diverted for N.C. Game Farm,,,
364,UnT19955o.Loyalsock,201307.UnT19955o.Loyalsock,,,Un.named.Tributary.19955.of.Loyalsock.Creek,Loyalsock Creek,7/12/2013,,,41.38604,-76.82036,41.38604,-76.82036,,,,,,,,,,Single,Unassessed,,,,,At mouth,,,
365,UnT19956o.Loyalsock,201307.UnT19956o.Loyalsock,,,Un.named.Tributary.19956.of.Loyalsock.Creek,Loyalsock Creek,7/12/2013,,,41.38765,-76.81135,41.38765,-76.81135,,,,,,,,,,Single,Unassessed,,,,,At mouth,,,
366,UnT20148t.Ketchum,201307.UnT20148t.Ketchum,,,Un.named.Tributary.20148.to.Ketchum.Run,Ketchum Run,7/12/2013,,,41.45254,-76.63104,41.45254,-76.63104,,14.1,7.35,44.9,14,,,,,Single,Unassessed,,,,,Mouth.,,,
367,UnT20149t.Ketchum,201307.UnT20149t.Ketchum,,,Un.named.Tributary.20149.to.Ketchum.Run,Ketchum Run,7/12/2013,,,41.45157,-76.62451,41.45157,-76.62451,,14.7,7.12,37.1,6.6,,,,,Single,Unassessed,,,,,Mouth.,,,
368,UnT20150t.Ketchum,201307.UnT20150t.Ketchum,,,Un.named.Tributary.20150.to.Ketchum.Run,Ketchum Run,7/12/2013,,,41.45112,-76.62282,41.45114,-76.62278,,15.1,6.99,43.9,6.8,,,,,Single,Unassessed,,,,,At mouth,,,
369,UnT20151o.Ketchum,201307.UnT20151o.Ketchum,,,Un.named.Tributary.20151.of.Ketchum.Run,Ketchum Run,7/12/2013,,,41.4496,-76.61782,41.4496,-76.61782,,14.4,7.45,59.9,19.4,,,,,Single,Unassessed,,,,,Mouth.,,,
370,UnT19014t.Rapid,201307.UnT19014t.Rapid,,,Un.named.Tributary.19014.to.Rapid.Run,Rapid Run,7/16/2013,,,40.98751,-77.12561,40.98753,-77.12562,,15,7.16,34.8,8.4,,,,,Single,Unassessed,,,,,40m above mouth,,,
371,UnT19015t.Rapid,201307.UnT19015t.Rapid,,,Un.named.Tributary.19015.to.Rapid.Run,Rapid Run,7/16/2013,,,40.98547,-77.14335,40.98545,-77.14333,,12.1,6.02,25.3,4.3,,,,,Single,Unassessed,,,,,10m up from mouth. Underground for 1st 10m and a 35m segment of water  then underground again,,,
372,UnT19017t.Rapid,201307.UnT19017t.Rapid,,,Un.named.Tributary.19017.to.Rapid.Run,Rapid Run,7/16/2013,,,40.98084,-77.18434,40.98082,-77.18432,,13.4,5.34,15.3,1.2,,,,,Single,Unassessed,,,,,25m up from mouth,,,
373,UnT19018t.Rapid,201307.UnT19018t.Rapid,,,Un.named.Tributary.19018.to.Rapid.Run,Rapid Run,7/16/2013,,,40.98705,-77.18804,40.98706,-77.18805,,13.5,6.24,14.5,3.2,,,,,Single,Unassessed,,,,,At mouth,,,
374,UnT19020t.Halfway,201307.UnT19020t.Halfway,,,Un.named.Tributary.19020.to.Halfway.Run,Halfway Run,7/16/2013,,,40.9948,-77.18043,40.99481,-77.18042,,12.8,6.88,18.6,2.4,,,,,Single,Unassessed,,,,,20m up from mouth,,,
375,UnT19021t.Rapid,201307.UnT19021t.Rapid,,,Un.named.Tributary.19021.to.Rapid.Run,Rapid Run,7/16/2013,,,40.98627,-77.21871,40.98622,-77.21879,,13.2,6.12,11.7,4.6,,,,,Single,Unassessed,,,,,25m from mouth,,,
376,UnT19023t.Yankee,201307.UnT19023t.Yankee,,,Un.named.Tributary.19023.to.Yankee.Run,Yankee Run,7/16/2013,,,40.99054,-77.22734,40.99062,-77.22746,,11.4,6.31,22.2,4.8,,,,,Single,Unassessed,,,,,At mouth,,,
377,UnT19964t.Bear,201307.UnT19964t.Bear,,,Un.named.Tributary.19964.to.Bear.Creek,Bear Creek,7/17/2013,,,41.37934,-76.75224,41.37931,-76.75224,,18.3,7.06,42.6,9.7,,,,,Single,Unassessed,,,,,Mouth to Bear Creek,,,
378,UnT19965t.Bear,201307.UnT19965t.Bear,,,Un.named.Tributary.19965.to.Bear.Creek,Bear Creek,7/17/2013,,,41.37255,-76.74461,41.37253,-76.74432,,15.2,6.6,23.6,3.7,,,,,Single,Unassessed,,,,,Mouth to Bear Creek,,,
379,UnT199675.Hessler,201307.UnT199675.Hessler,,,Un.named.Tributary.19967.5.to.Hessler.Branch,Hessler Branch,7/17/2013,,,,,41.36317,-76.74401,,9.8,6.44,18.7,4.1,,,,,Single,Unassessed,,,,,Mouth to Hessler Branch,,,
380,UnT19967t.Hessler,201307.UnT19967t.Hessler,,,Un.named.Tributary.19967.to.Hessler.Branch,Hessler Branch,7/17/2013,,,41.36368,-76.7433,41.36366,-76.74328,,15.2,6.12,13.4,1.8,,,,,Single,Unassessed,,,,,10m from mouth to Hessler Branch,,,
381,UnT19968t.Hessler,201307.UnT19968t.Hessler,,,Un.named.Tributary.19968.to.Hessler.Branch,Hessler Branch,7/17/2013,,,41.36211,-76.74555,41.36211,-76.74555,,15,6.06,13.7,4.6,,,,,Single,Unassessed,,,,,Mouth to Hessler Branch,,,
382,UnT19972t.SouthForkBear,201307.UnT19972t.SouthForkBear,,,Un.named.Tributary.19972.to.South.Fork.Bear.Creek,South Fork Bear Creek,7/18/2013,,,41.3585,-76.72551,41.35876,-76.72623,,14.1,6.45,13.3,3.9,,,,,Single,Unassessed,,,,,Mouth to South Fork Bear Creek,,,
383,UnT19973t.SouthForkBear,201307.UnT19973t.SouthForkBear,,,Un.named.Tributary.19973.to.South.Fork.Bear.Creek,South Fork Bear Creek,7/18/2013,,,41.35737,-76.72348,41.35738,-76.72286,,13.8,6.42,21.6,4.6,,,,,Single,Unassessed,,,,,Mouth to South Fork Bear Creek,,,
384,UnT19975t.Bear,201307.UnT19975t.Bear,,,Un.named.Tributary.19975.to.Bear.Creek,Bear Creek,7/18/2013,,,41.37207,-76.73011,41.37321,-76.72861,,17.3,4.78,24.3,0.2,,,,,Single,Unassessed,,,,,Mouth to Bear Creek,,,
385,UnT19976t.Bear,201307.UnT19976t.Bear,,,Un.named.Tributary.19976.to.Bear.Creek,Bear Creek,7/18/2013,,,41.37262,-76.72312,41.37261,-76.7231,,19,4.6,24.1,0,,,,,Single,Unassessed,,,,,Mouth to Bear Creek,,,
386,UnT19977t.Bear,201307.UnT19977t.Bear,,,Un.named.Tributary.19977.to.Bear.Creek,Bear Creek,7/18/2013,,,41.37257,-76.72221,41.37257,-76.72227,,18.3,4.69,25.4,0.2,,,,,Single,Unassessed,,,,,Mouth to Bear Creek,,,
387,UnT19978t.Bear,201307.UnT19978t.Bear,,,Un.named.Tributary.19978.to.Bear.Creek,Bear Creek,7/18/2013,,,41.37317,-76.71693,41.37315,-76.71695,,15.3,6.34,19.9,4.9,,,,,Single,Unassessed,,,,,Mouth to Bear Creek,,,
388,UnT19979t.Bear,201307.UnT19979t.Bear,,,Un.named.Tributary.19979.to.Bear.Creek,Bear Creek,7/18/2013,,,41.37279,-76.71614,41.37269,-76.71593,,,,,,,,,,Single,Unassessed,,,,,Mouth to Bear Creek,,,
389,UnT19928t.EastWallis,201307.UnT19928t.EastWallis,,,Un.named.Tributary.19928.to.East.Branch.Wallis.Run,East Branch Wallis Run,7/23/2013,,,41.4609,-76.84028,41.46681,-76.83603,,17.6,6.66,34.7,7,,,,,Single,Unassessed,,,,,Off Old Cascade Road Jeep Trail,,,
390,UnT19929o.EastWallis,201307.UnT19929o.EastWallis,,,Un.named.Tributary.19929.of.East.Branch.Wallis.Run,East Branch Wallis Run,7/23/2013,,,41.46244,-76.84058,41.46594,-76.84293,,18,6.67,29.6,6.2,,,,,Single,Unassessed,,,,,Off Old Cascade Road Jeep Trail,,,
391,UnT19930t.EastWallis,201307.UnT19930t.EastWallis,,,Un.named.Tributary.19930.to.East.Branch.Wallis.Run,East Branch Wallis Run,7/23/2013,,,41.46483,-76.83481,41.4673,-76.83335,,18,6.6,31.6,6.8,,,,,Single,Unassessed,,,,,Off Old Cascade Road Jeep Trail,,,
392,UnT20694to.NorthPleasantStream,201307.UnT20694to.NorthPleasantStream,,,Unnamed.Tributary.20694.to.North.Pleasant.Stream,North Pleasant Stream,7/23/2013,,,41.5263,-76.81574,41.52649,-76.81601,,,,,,,,,,Single,Unassessed,,,,,At mouth to North Pleasant Stream,,,
393,UnT18983t.Spruce,201307.UnT18983t.Spruce,,,Un.named.Tributary.18983.to.Spruce.Run,Spruce Run,7/25/2013,,,41.02655,-76.98237,41.0311,-77.01,,15.8,7.64,59.2,33,,,,,Single,Unassessed,,,,,Off Spruce Run Road,,,
394,UnT18984t.Spruce,201307.UnT18984t.Spruce,,,Un.named.Tributary.18984.to.Spruce.Run,Spruce Run,7/25/2013,,,41.03036,-77.01539,41.03035,-77.01538,,,,,,,,,,Single,Unassessed,,,,,At mouth,,,
395,UnT18985t.Spruce,201307.UnT18985t.Spruce,,,Un.named.Tributary.18985.to.Spruce.Run,Spruce Run,7/25/2013,,,41.03079,-77.01724,41.03071,-77.01722,,17,6.4,36.6,14,,,,,Single,Unassessed,,,,,Above wetland and confluence of 18984,,,
396,UnT18986t.Spruce,201307.UnT18986t.Spruce,,,Un.named.Tributary.18986.to.Spruce.Run,Spruce Run,7/25/2013,,,41.03113,-77.02193,41.03128,-77.02191,,17.5,6.62,26.5,1.9,,,,,Single,Unassessed,,,,,At mouth,,,
397,UnT189925.Spruce,201307.UnT189925.Spruce,,,Un.named.Tributary.18992.5.to.Spruce.Run,Spruce Run,7/25/2013,,,41.01521,-77.11621,41.01521,-77.11621,,10.5,5.92,11.7,2.5,,,,,Single,Unassessed,,,,,At mouth to Spruce,,,
398,UnT18992t.Spruce,201307.UnT18992t.Spruce,,,Un.named.Tributary.18992.to.Spruce.Run,Spruce Run,7/25/2013,,,41.01594,-77.11532,41.01594,-77.11541,,15.7,4.86,19.4,0.1,,,,,Single,Unassessed,,,,,At mouth,,,
399,UnT19010t.Rapid,201307.UnT19010t.Rapid,,,Un.named.Tributary.19010.to.Rapid.Run,Rapid Run,7/25/2013,,,40.98826,-77.08485,40.99299,-77.08474,,14.8,7.14,31.4,7.9,,,,,Single,Unassessed,,,,,Sand Mountain Road,,,
400,UnT19011t.Rapid,201307.UnT19011t.Rapid,,,Un.named.Tributary.19011.to.Rapid.Run,Rapid Run,7/25/2013,,,41.00168,-77.08571,41.00168,-77.08571,,13.9,7.07,31.3,7.4,,,,,Single,Unassessed,,,,,At mouth,,,
401,UnT19012t.Rapid,201307.UnT19012t.Rapid,,,Un.named.Tributary.19012.to.Rapid.Run,Rapid Run,7/25/2013,,,40.98704,-77.10498,40.98704,-77.10491,,16.4,6.87,26.1,5.9,,,,,Single,Unassessed,,,,,At the mouth,,,
402,UnT19013t.Rapid,201307.UnT19013t.Rapid,,,Un.named.Tributary.19013.to.Rapid.Run,Rapid Run,7/25/2013,,,40.98729,-77.11171,40.98761,-77.11353,,15.3,6.89,29,6.6,,,,,Single,Unassessed,,,,,At cabin on Buffalo Road,,,
403,BlackHole.WestSusquehannaRiver,201307.BlackHole.WestSusquehannaRiver,,,Black.Hole.Creek,West Branch Susquehanna River,7/30/2013,,,41.155163,-76.886185,41.17641,-76.87713,,20.1,8.08,137,35.4,,,,,Single,Unassessed,,,,,At bend in Black Hole Creek  near Subway,,,
404,Delaware.WestSusquehannaRiver,201307.Delaware.WestSusquehannaRiver,,,Delaware.Run,West Branch Susquehanna River,7/30/2013,,,41.093411,-76.881195,41.11248,-76.8819,,20,7.37,288.4,79.2,,,,,Single,Unassessed,,,,,River Road,,,
405,Dry.WestSusquehannaRiver,201307.Dry.WestSusquehannaRiver,,,Dry.Run,West Branch Susquehanna River,7/30/2013,,,41.092172,-76.879198,41.09824,-76.87497,,21.3,8.17,395.3,127.9,,,,,Single,Unassessed,,,,,on True Blue Road,,,
406,Limestone.WestSusquehannaRiver,201307.Limestone.WestSusquehannaRiver,,,Limestone.Run,West Branch Susquehanna River,7/30/2013,,,41.017633,-76.857235,41.01752,-76.83706,,17.1,8.17,661,230,,,,,Single,Unassessed,,,,,Elementary School in Milton,,,
407,Muddy.WestSusquehannaRiver,201307.Muddy.WestSusquehannaRiver,,,Muddy.Run,West Branch Susquehanna River,7/30/2013,,,41.050269,-76.853228,41.03859,-76.84097,,16.5,8.4,574.2,200,,,,,Single,Unassessed,,,,,Rt 147 underpass,,,
408,Spring.WestSusquehannaRiver,201307.Spring.WestSusquehannaRiver,,,Spring.Run,West Branch Susquehanna River,7/30/2013,,,41.088245,-76.874615,41.09225,-76.85933,,17.7,8.03,420.1,137.2,,,,,Single,Unassessed,,,,,Above road crossing on 8th street Drive,,,
409,Turkey.WestSusquehannaRiver,201307.Turkey.WestSusquehannaRiver,,,Turkey.Run,West Branch Susquehanna River,7/30/2013,,,41.182392,-76.819009,41.19546,-76.82606,,19.1,7.72,121.1,32.7,,,,,Single,Unassessed,,,,,Nursery on State Home Road,,,
410,UnT20683to.Butternut,201307.UnT20683to.Butternut,,,Unnamed.Tributary.20683.to.Butternut.Run,Butternut Run,7/30/2013,,,41.48037,-76.86049,41.48037,-76.86049,,14.9,6.73,39.2,10,,,,,Single,Unassessed,,,,,At mouth,,,
412,Warrior.WestSusquehannaRiver,201307.Warrior.WestSusquehannaRiver,,,Warrior.Run,West Branch Susquehanna River,7/30/2013,,,41.0732,-76.855064,41.10091,-76.79593,,18.9,7.8,306.9,97.7,,,,,Single,Unassessed,,,,,Warrior Run high school cross country course by RR tracks,,,
413,UnT20677t.PleasantStream,201307.UnT20677t.PleasantStream,,,Un.named.Tributary.20677.to.Pleasant.Stream,Pleasant Stream,7/31/2013,,,41.49593,-76.89762,41.49592,-76.89764,,,,,,,,,,Single,Unassessed,,,,,Off Pleasant Stream Road,,,
414,UnT20685t.Short,201307.UnT20685t.Short,,,Un.named.Tributary.20685.to.Short.Run,Short Run,7/31/2013,,,41.50003,-76.85539,41.50001,-76.85538,,,,,,,,,,Single,Unassessed,,,,,At mouth,,,
415,UnT20008t.Loyalsock,201308.UnT20008t.Loyalsock,,,Un.named.Tributary.20008.to.Loyalsock.Creek,Loyalsock Creek,8/1/2013,,,41.39359,-76.78107,41.39424,-76.78135,,,,,,,,,,Single,Unassessed,,,,,At mouth,,,
416,UnT20009o.Loyalsock,201308.UnT20009o.Loyalsock,,,Un.named.Tributary.20009.of.Loyalsock.Creek,Loyalsock Creek,8/1/2013,,,41.39917,-76.7795,41.39916,-76.77946,,,,,,,,,,Single,Unassessed,,,,,At mouth,,,
417,UnT20010t.Loyalsock,201308.UnT20010t.Loyalsock,,,Un.named.Tributary.20010.to.Loyalsock.Creek,Loyalsock Creek,8/1/2013,,,41.39085,-76.76828,41.39135,-76.76778,,,,,,,,,,Single,Unassessed,,,,,At mouth,,,
418,UnT20083t.Hoagland,201308.UnT20083t.Hoagland,,,Un.named.Tributary.20083.to.Hoagland.Branch,Hoagland Branch,8/1/2013,,,41.54675,-76.7418,41.55091,-76.74001,,15.3,7.07,50.6,15.2,,,,,Single,Unassessed,,,,,Off picnic Road in Shunk,,,
419,UNT20736toDoe.Doe,201308.UNT20736toDoe.Doe,,,UN.Trib.20736.to.Doe.Run,Doe Run,8/1/2013,,,41.52134,-76.877,41.52134,-76.877,,17,4.93,22.2,0.1,,,,,Single,Unassessed,,,,,At mouth,,,
420,UNT20737toDoe.Doe,201308.UNT20737toDoe.Doe,,,UN.Trib.20737.to.Doe.Run,Doe Run,8/1/2013,,,41.52123,-76.8756,41.52123,-76.8756,,11.9,4.74,26.6,0.1,,,,,Single,Unassessed,,,,,At mouth,,,
421,UnT20742t.YellowDog,201308.UnT20742t.YellowDog,,,Un.named.Tributary.20742.to.Yellow.Dog.Run,Yellow Dog Run,8/1/2013,,,41.53385,-76.8719,41.53385,-76.8719,,13.8,4.55,24.6,0,,,,,Single,Unassessed,,,,,At mouth,,,
422,LittleWeikert.Weikert,201308.LittleWeikert.Weikert,,,Little.Weikert.Run,Weikert Run,8/12/2013,,,40.826942,-77.352219,40.82693,-77.35223,,14.9,6.04,21.6,6,,,,,Single,Unassessed,,,,,At mouth,,,
423,Rock.Swift,201308.Rock.Swift,,,Rock.Run,Swift Run,8/12/2013,,,40.816944,-77.417221,40.81685,-77.41697,,13.7,5.97,17.6,3.9,,,,,Single,Unassessed,,,,,At mouth,,,
424,Stony.Laurel,201308.Stony.Laurel,,,Stony.Run,Laurel Run,8/12/2013,,,40.894564,-77.202908,40.92241,-77.22525,,14.9,6.79,43.3,17.2,,,,,Single,Unassessed,,,,,Above Reservior,,,
425,Painter.LittleBear,201406.Painter.LittleBear,,,Painter.Run,Little Bear Creek,6/2/2014,,,,,41.3598,-76.84715,,12.1,6.85,17,5.6,,,,,Repeated,,,Loyalsock,,,Mouth,,,
426,Red.LittleBear,201406.Red.LittleBear,,,Red.Run,Little Bear Creek,6/2/2014,,,,,41.34909,-76.81129,,10.9,6.99,8.79,4,,,,,Repeated,,,Loyalsock,,,Bridge,,,
427,UnNamedt19330.WhiteDeerHole,201406.UnNamedt19330.WhiteDeerHole,,,Un.Named.tributary.19330,White Deer Hole Creek,6/2/2014,1:02:00 PM,,41.08704,-77.12504,41.08704,-77.12504,,11.4,6.97,27.8,30,,,,,Single,Unassessed,,,,,above culvert on gap road,,,
428,UnT19329.WhiteDeerHole,201406.UnT19329.WhiteDeerHole,,,Un.named.Tributary.19329,White Deer Hole Creek,6/2/2014,11:10:00 AM,,41.089329,-77.12113,41.08932,-77.12114,,11.2,7.63,32.1,12.4,,,,,Single,Unassessed,,,,,along 4th gap road at mouth,,,
429,Unt19331.WhiteDeerHole,201406.Unt19331.WhiteDeerHole,,,Un.named.tributary.19331,White Deer Hole Creek,6/2/2014,2:30:00 PM,,41.07528,-77.12004,41.07528,-77.12004,,11.4,6.88,23.5,15,,,,,Single,Unassessed,,,,,At mouth,,,
430,UnT19332.WhiteDeerHole,201406.UnT19332.WhiteDeerHole,,,Un.named.Tributary.19332,White Deer Hole Creek,6/2/2014,3:30:00 PM,,41.07344,-77.12181,41.07344,-77.12181,,12.2,6.9,28.4,14.5,,,,,Single,Unassessed,,,,,at the mouth,,,
431,Brunnerdale.Ogdonia,201406.Brunnerdale.Ogdonia,,,Brunnerdale.Run,Ogdonia Creek,6/3/2014,,,,,41.38554,-76.66904,,12.8,6.66,8.24,7,,,,,Repeated,,,Loyalsock,,,Mouth,,,
432,DrySock.LowerLoyalsock,201406.DrySock.LowerLoyalsock,,,Dry.Run.Sock,Lower Loyalsock Creek,6/3/2014,,,,,41.419941,-76.704952,,14.3,7.29,14,19.1,,,,,Repeated,,,Loyalsock,,,DCNR Building,,,
433,Scar.LowerLoyalsock,201406.Scar.LowerLoyalsock,,,Scar.Run,Lower Loyalsock,6/3/2014,,,,,41.470536,-76.635052,,13.8,6.93,86.7,10,,,,,Repeated,,,Loyalsock,,,Above Rt 87 bridge,,,
434,Shingle.Bear,201406.Shingle.Bear,,,Shingle.Run,Bear Creek,6/3/2014,,,,,41.38193,-76.76989,,11.8,5.99,8.55,0.8,,,,,Repeated,,,Loyalsock,,,Mouth,,,
