SurveyID,SiteCode,EventCode,Date,Watername,TribTo,Time,CrewLeader,Comments,Location,Length,AveWid,Wid1,Wid2,Wid3,Wid4,Wid5,VoltStart,FreqStart,DutyStart,Volts,FreqEnd,DutyEnd,Flow,EffortMin,Seconds,Pass1TimeA,Pass2TimeA,Pass3TimeA,Pass1TimeB,Pass2TimeB,Pass3TimeB,Pass1TimeC,Pass2TimeC,Pass3TimeC,Pass1TimeD,Pass2TimeD,Pass3TimeD,PEAllTrout,PEBrook,PEBrown,PERainbow,PEYOYAll,PEYOYBrook,PEYOYBrown,PEYOYRainbow,PEAdtAll,PEAdtBrook,PEAdtBrown,PEAdtRainbow,BrookP1,BrookP2,BrookP3,BrownP1,BrownP2,BrownP3,RainP1,RainP2,RainP3,TigerP1,TigerP2,TigerP3,TotalP1,TotalP2,TotalP3,GrandTotal,NumShockers,TimeStamp,IDBy,RecordBy,Crew,RFPID,SurveyNotes,Operators,Netters
427,UnT19329.WhiteDeerHole,201406.UnT19329.WhiteDeerHole,02-Jun-14,Un.named.Tributary.19329,White Deer Hole Creek,11:10:00 AM,,,along 4th gap road at mouth,100,1.6,1,1,2.75,1.25,2,625,,,625,,,,16,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
428,Unt19331.WhiteDeerHole,201406.Unt19331.WhiteDeerHole,02-Jun-14,Un.named.tributary.19331,White Deer Hole Creek,2:30:00 PM,,,At mouth,101,3.23,1.6,3.8,3.75,4,3,700,,,700,,,,17,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
429,UnT19332.WhiteDeerHole,201406.UnT19332.WhiteDeerHole,02-Jun-14,Un.named.Tributary.19332,White Deer Hole Creek,3:30:00 PM,,,at the mouth,101,1.78,1.9,1.8,2.1,1.7,1.4,650,,,650,,,,10,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
430,Brunnerdale.Ogdonia,201406.Brunnerdale.Ogdonia,03-Jun-14,Brunnerdale.Run,Ogdonia Creek,,,,Mouth,100,3.5,,,,,,525,,,525,,,,42,2498,1348,800,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
431,DrySock.LowerLoyalsock,201406.DrySock.LowerLoyalsock,03-Jun-14,Dry.Run.Sock,Lower Loyalsock Creek,,,,DCNR Building,100,3.6,,,,,,625,,,625,,,,35,2083,1268,815,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
432,Scar.LowerLoyalsock,201406.Scar.LowerLoyalsock,03-Jun-14,Scar.Run,Lower Loyalsock,,,,Above Rt 87 bridge,100,2.7,,,,,,525,,,525,,,,60,3608,1731,1180,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
433,Shingle.Bear,201406.Shingle.Bear,03-Jun-14,Shingle.Run,Bear Creek,,,,Mouth,100,2.7,,,,,,800,,,800,,,,49,2935,1365,1145,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
434,Snake.BearLoyalsock,201406.Snake.BearLoyalsock,03-Jun-14,Snake.Run,Bear Creek (Loyalsock),,,,Upstream of braid,100,1.8,,,,,,700,,,700,,,,35,2123,1060,710,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
435,UnNamedt30355.Millstone,201406.UnNamedt30355.Millstone,03-Jun-14,Un.Named.tributary.30355,Millstone Creek,3:30:00 PM,,,at the mouth,53,2.06,3,2.9,3.2,1.2,0,800,,,800,,,,7,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
436,Unt20098.Blackwater,201406.Unt20098.Blackwater,03-Jun-14,Un.named.tributary.20098,Blackwater Run,8:50:00 AM,,,at mouth,101,0.356,0.5,0.45,0.25,0.28,0.3,300,,,300,,,,22,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
437,Unt20162.LittleLoyalsock,201406.Unt20162.LittleLoyalsock,03-Jun-14,Un.named.tributary.20162,Little Loyalsock Creek,10:19:00 AM,,,above culvert off rt 87,100,1.46,1,1.3,1.4,1.7,1.9,400,,,400,,,,9,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
438,Unt20163.LittleLoyalsock,201406.Unt20163.LittleLoyalsock,03-Jun-14,Un.named.tributary.20163,Little Loyalsock Creek,11:10:00 AM,,,Completely culverted from the pond to the trib,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,UnT20165.Lick,201406.UnT20165.Lick,03-Jun-14,Un.named.Tributary.20165,Lick Creek,11:30:00 AM,,,dry at mouth for 250m  35m below culvert on mccarty ridge rd SR 4011,35,1.1,1.5,0.6,0.6,1.5,1.3,690,,,690,,,,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
440,Unt20183.Streby,201406.Unt20183.Streby,03-Jun-14,Un...named.tributary.20183,Streby Run,12:45:00 PM,,,above and below the culvert by state road 4016  A drop of 2 feet at the mouth to streby in addition to a 4ft drop from the culvert to the streams mouth,100,1.66,0.5,0.7,1,5,1.1,490,,,490,,,,5,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
441,UnT20322.Loyalsock,201406.UnT20322.Loyalsock,03-Jun-14,Un.named.Tributary.20322,Loyalsock Creek,7:50:00 AM,,,Sullivan County Fairgrounds,100,1.45,1.25,0.75,1.75,2,1.5,850,,,850,,,,7,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
442,UnT30346.DeepHollow,201406.UnT30346.DeepHollow,03-Jun-14,Un.named.Tributary.30346,Deep Hollow,2:52:00 PM,,,1st UNT upstream deep hollow road,100,2.34,3.1,1.9,2.6,2.3,1.8,750,,,750,,,,21,1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
443,Conklin.LakeMokoma,201406.Conklin.LakeMokoma,04-Jun-14,Conklin.Run,Lake Mokoma,,,,Upstream of Bridge,100,2.9,,,,,,950,,,950,,,,32,1916,1305,611,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
444,DoenewUnt.LakeMokoma,201406.DoenewUnt.LakeMokoma,04-Jun-14,Doe.Run..new.Un.named.trib.,Lake Mokoma,8:00:00 AM,,,At mouth,101,1.85,1.75,2,1,1.5,3,850,,,850,,,,10,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
445,Level.Lick,201406.Level.Lick,04-Jun-14,Level.Branch,Lick Creek,,,,,102,3.3,,,,,,450,,,450,,,,63,3805,1850,1205,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
446,Lick.Kings,201406.Lick.Kings,04-Jun-14,Lick.Run,Kings Creek,,,,,100,2.1,,,,,,650,,,650,,,,42,2548,1550,765,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
447,Streby.Lick,201406.Streby.Lick,04-Jun-14,Streby.Run,Lick Creek,,,,Mouth,100,2.7,,,,,,350,,,350,,,,34,2054,1058,730,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
448,UNNamedT30423.Schrader,201406.UNNamedT30423.Schrader,04-Jun-14,UN.Named.Tributary.30423,Schrader Creek,10:30:00 AM,,,50m above mouth,102,3.34,2.4,3.7,3.5,4,3.1,650,,,650,,,,19,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
449,unt20362.Dutchman,201406.unt20362.Dutchman,04-Jun-14,un.named.tributary.20362,Dutchman Run,8:00:00 AM,,,below culvert off of 220,96,1.63,0.5,1.25,2.75,1,2.65,550,,,550,,,,7,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
450,Unt20408.Ellis,201406.Unt20408.Ellis,04-Jun-14,Un.named.tributary.20408,Ellis Creek,10:50:00 AM,,,Just above mouth,0,0.62,0.5,0.3,1.3,0.5,0.5,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Unt20409.Ellis,201406.Unt20409.Ellis,04-Jun-14,Un.named.tributary.20409,Ellis Creek,10:00:00 AM,,,left branch facing upstream according to maps,40,1.45,1.25,0.75,1.75,2,1.5,,,,,,,,9,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
452,UNt20410.Loyalsock,201406.UNt20410.Loyalsock,04-Jun-14,UN.named.tributary.20410,Loyalsock Creek,1:00:00 PM,,,at the mouth  silty,100,2.68,1.2,2.7,3.1,3.4,3,650,,,650,,,,9,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
453,Unt20417.Lopez,201406.Unt20417.Lopez,04-Jun-14,Un.named.tributary.20417,Lopez Creek,,,,At mouth,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Unt20465.Santee,201406.Unt20465.Santee,04-Jun-14,Un.named.tributary.20465,Santee Creek,9:00:00 AM,,,mouth to santee creek,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,UnT20470.Loyalsock,201406.UnT20470.Loyalsock,04-Jun-14,Un.named.Tributary.20470,Loyalsock Creek,4:00:00 PM,,,flows into a wetland  its dry with pockets in the wetland,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Yellow.LittleLoyalsock,201406.Yellow.LittleLoyalsock,04-Jun-14,Yellow.Run,Little Loyalsock Creek,,,,Bridge,100,2.1,,,,,,500,,,500,,,,45,2696,1550,1146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
457,ColdSpring.Schrader,201406.ColdSpring.Schrader,05-Jun-14,Cold.Spring,Schrader Creek,12:26:00 PM,,,dry about 400m from the mouth  300m above the culvert on schrader creek road,100,2.48,2,3.2,1.7,3.7,1.8,850,,,850,,,,5,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
458,DryHB.Hoagland,201406.DryHB.Hoagland,05-Jun-14,Dry.Run.HB,Hoagland Branch,,,,,100,1.5,,,,,,500,,,500,,,,44,2639,1100,942,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
459,Swamp.Hoagland,201406.Swamp.Hoagland,05-Jun-14,Swamp.Run,Hoagland Branch,,,,Mouth,101,4.1,,,,,,700,,,700,,,,42,2514,1405,1109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
460,UNNamedT30421.Schrader,201406.UNNamedT30421.Schrader,05-Jun-14,UN.Named.Tributary.30421,Schrader Creek,2:30:00 PM,,,at the mouth,100,2.88,3.4,1.6,2,3.7,3.7,700,,,700,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,UNNamedT30424.Schrader,201406.UNNamedT30424.Schrader,05-Jun-14,UN.Named.Tributary.30424,Schrader Creek,9:45:00 AM,,,above culvert next to railroad road perpendicular to schrader creek,100,1.74,1.9,1.2,1.5,0.6,3.5,770,,,770,,,,2,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
462,UnT30419.Schrader,201406.UnT30419.Schrader,05-Jun-14,Un.named.Tributary.30419,Schrader Creek,11:50:00 AM,,,at  mouth large wetland that drains schrader creek,96,2.84,1.8,5.9,2.8,2.3,1.4,650,,,650,,,,10,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
463,UnT30426.Schrader,201406.UnT30426.Schrader,05-Jun-14,Un.named.Tributary.30426..wilson.run.,Schrader Creek,7:54:00 AM,,,At mouth,100,3.84,4.1,3.7,2.9,4.8,3.7,750,,,750,,,,16,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
464,Unt30427.Schrader,201406.Unt30427.Schrader,05-Jun-14,Un.named.tributary.30427,Schrader Creek,1:00:00 PM,,,At Mouth,100,0.68,0.7,0.6,0.7,0.6,0.8,700,,,700,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Wolf.Schrader,201406.Wolf.Schrader,05-Jun-14,Wolf.Run,Schrader Creek,1:15:00 PM,,,below bridge to Schrader creek road 20 m up from the mouth,100,3.5,2.9,2.6,4.9,2.9,4.2,850,,,850,,,,9,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
466,Mill.Loyalsock,201406.Mill.Loyalsock,06-Jun-14,Mill.Run,Loyalsock Creek,,,,Off Karge Road,100,4.5,,,,,,750,,,750,,,,80,4773,2290,1526,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
467,Sand.MillMokoma,201406.Sand.MillMokoma,06-Jun-14,Sand.Run,Mill Creek (Mokoma),,,,,100,1.2,,,,,,600,,,600,,,,9,536,436,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
468,Dutchman.UpperLoyalsock,201406.Dutchman.UpperLoyalsock,09-Jun-14,Dutchman.Run,Upper Loyalsock Creek,,,,Upstream of Railroad Trestle,100,2.1,,,,,,800,,,800,,,,17,1021,921,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
469,Ellis.UpperLoyalsock,201406.Ellis.UpperLoyalsock,09-Jun-14,Ellis.Creek,Upper Loyalsock Creek,,,,,100,2,,,,,,900,,,900,,,,21,1233,689,544,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
470,FlagMarsh.Pigeon,201406.FlagMarsh.Pigeon,09-Jun-14,Flag.Marsh.Run,Pigeon Creek,,,,Mouth,100,2.3,,,,,,,,,,,,,30,1779,1088,691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
471,Sherman.UpperLoyalsock,201406.Sherman.UpperLoyalsock,09-Jun-14,Sherman.Run,Upper Loyalsock,,,,Bridge,100,1.9,,,,,,800,,,800,,,,13,768,558,210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
472,Grandad.Hessler,201406.Grandad.Hessler,10-Jun-14,Grandad.Run,Hessler Branch,,,,Mouth,100,2.1,,,,,,850,,,850,,,,43,2600,1445,574,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
473,Huckle.Loyalsock,201406.Huckle.Loyalsock,10-Jun-14,Huckle.Run,Loyalsock,,,,Mouth,100,2.2,,,,,,625,,,625,,,,63,3754,2189,907,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
474,Unt200195.Kettle,201406.Unt200195.Kettle,10-Jun-14,Un.named.tributary.20019.5,Kettle Creek,2:15:00 PM,,,kettle creek club  not on the map but flows year round according to club,100,0.73,0.5,0.6,0.5,1.3,0.75,900,,,900,,,,10,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
475,Unt20020.Kettle,201406.Unt20020.Kettle,10-Jun-14,Un.named.tributary.20020,Kettle Creek,11:30:00 AM,,,Kettle creek club,100,0.72,1.2,1,0.6,0.5,0.3,900,,,900,,,,14,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
476,UNTtoLoyalsock.Loyalsock,201406.UNTtoLoyalsock.Loyalsock,10-Jun-14,UN.Trib.to.Loyalsock.Creek..AKA.the.Race,Loyalsock Creek,8:00:00 AM,,,Rt 87 at old trading post,100,1.45,1.25,0.75,1.75,2,1.5,550,,,550,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Fall.Hoagland,201406.Fall.Hoagland,11-Jun-14,Fall.Run,Hoagland Branch,,,,Mouth,100,2.9,,,,,,450,,,450,,,,42,2505,1542,711,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
478,Porter.Hoagland,201406.Porter.Hoagland,11-Jun-14,Porter.Creek,Hoagland Branch,,,,Mouth,100,3,,,,,,325,,,325,,,,41,2480,1361,897,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
479,Weed.Hoagland,201406.Weed.Hoagland,11-Jun-14,Weed.Creek,Hoagland Branch,,,,Mouth,100,2.2,,,,,,450,,,450,,,,63,3769,1945,1057,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
480,Lake.Elk,201406.Lake.Elk,12-Jun-14,Lake.Run,Elk Creek,,,,100m upstream of mouth,100,2.2,,,,,,425,,,425,,,,34,2017,1250,767,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
481,SandSpring.LittleBear,201406.SandSpring.LittleBear,12-Jun-14,Sand.Spring.Run,Little Bear Creek,,,,Bridge,100,3.4,,,,,,800,,,800,,,,51,3054,1674,837,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
482,UnT20070.Porter,201406.UnT20070.Porter,12-Jun-14,Un.named.Tributary.20070,Porter Creek,11:35:00 AM,,,rolands Rd.,100,1.28,0.7,0.9,1.2,1.6,2,850,,,850,,,,13,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
483,UNt20118.Elk,201406.UNt20118.Elk,12-Jun-14,UN.named.tributary.20018..Baumunk.Branch.,Elk Creek,4:01:00 PM,,,Battin Rd.,100,1.84,2.6,1.3,2,1.8,1.5,750,,,750,,,,18,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
484,UNT19324.WhiteDeerHole,201406.UNT19324.WhiteDeerHole,18-Jun-14,UNT.19324,White Deer Hole Creek,11:00:00 AM,,,Behind white deer hunting club,100,2.44,2,1.9,4.2,2.4,1.7,750,,,750,,,,15,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
485,UNT19325.WhiteDeerHole,201406.UNT19325.WhiteDeerHole,18-Jun-14,UNT.19325,White Deer Hole Creek,10:00:00 AM,,,Gap road just above mouth,100,0.85,1,1.9,0.7,0.4,0.25,850,,,850,,,,7,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
486,UNT19326.WhiteDeerHole,201406.UNT19326.WhiteDeerHole,18-Jun-14,UNT.19326,White Deer Hole Creek,2:00:00 PM,,,Does not exist. Potentially old bed  but has not had flow in years.,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,UNT19327.WhiteDeerHole,201406.UNT19327.WhiteDeerHole,18-Jun-14,UNT.19327,White Deer Hole Creek,2:30:00 PM,,,At mouth,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,UNT19333.WhiteDeerHole,201406.UNT19333.WhiteDeerHole,18-Jun-14,UNT.19333,White Deer Hole Creek,12:48:00 PM,,,100M below Dunbar Trail Bridge,101,2.9,2.3,2.5,4.1,4,1.6,850,,,850,,,,14,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
489,Coal.UpperLoyalsock,201406.Coal.UpperLoyalsock,19-Jun-14,Coal.Run,Upper Loyalsock Creek,,,,Mouth,100,1.4,,,,,,,,,,,,,45,2670,1490,643,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
490,Rock.LittleLoyalsock,201406.Rock.LittleLoyalsock,19-Jun-14,Rock.Run,Little Loyalsock Creek,,,,DCNR Property,100,3.6,,,,,,800,,,800,,,,57,3440,2137,1303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
491,UNT20359toLoyalsock.Loyalsock,201406.UNT20359toLoyalsock.Loyalsock,19-Jun-14,UN.Trib.20359.to.Loyalsock.Creek..AKA.Brook.Kedron,Loyalsock Creek,1:17:00 PM,,,Downstream of Railroad Grade near Haystack Rapids,100,2.6,0.9,2.7,3.7,3.7,2,750,,,750,,,,19,1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
492,BearRun.Loyalsock,201406.BearRun.Loyalsock,20-Jun-14,Bear.Run,Loyalsock Creek,,,,Above bridge on Cosgrove property,100,1.6,,,,,,600,,,600,,,,67,4002,1831,1324,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
493,UNT20348.MillMokoma,201406.UNT20348.MillMokoma,20-Jun-14,UNT.20348,Mill Creek (Mokoma),2:50:00 PM,,,below stonehedge road,100,1.58,0.9,1.5,1,2,2.5,400,,,400,,,,16,963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
494,UNT20353.Loyalsock,201406.UNT20353.Loyalsock,20-Jun-14,UNT.20353,Loyalsock Creek,12:37:00 PM,,,At mouth. A 2.5M high Cascade 3m from mouth.fish was caught below the cascade. Large populations of Salamanders,100,1.26,1.5,1.3,0.7,1.8,1,750,,,750,,,,5,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
495,UNT20356.Mill,201406.UNT20356.Mill,20-Jun-14,UNT.20356,Mill Run,5:02:00 PM,,,below Karge road  Flows out of  lake,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,UNT20364.Loyalsock,201406.UNT20364.Loyalsock,20-Jun-14,UNT.20364,Loyalsock Creek,4:24:00 PM,,,At mouth,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Cabin.Schrader,201406.Cabin.Schrader,21-Jun-14,Cabin.Run.,Schrader Creek,3:08:00 PM,,,up off of the Valley floor dry for 750M from mouth,101,1.08,1.1,0.8,1.1,1.4,1,750,,,750,,,,15,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
498,Thomas.Schrader,201406.Thomas.Schrader,21-Jun-14,Thomas.Run,Schrader Creek,4:13:00 PM,,,Above culvert on schrader creek road. Dry from 450M from mouth,102,2.44,3.7,2,2.4,2.2,1.9,990,,,990,,,,8,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
499,UNT30395.Schrader,201406.UNT30395.Schrader,21-Jun-14,UNT.30395,Schrader Creek,6:02:00 PM,,,at 63M trib flows underground,63,1.24,0.7,1.3,1.1,2,1.1,990,,,990,,,,3,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
500,UNT30396.Schrader,201406.UNT30396.Schrader,21-Jun-14,UNT.30396,Schrader Creek,5:15:00 PM,,,At mout. Hanging cuvert ~1.5M w/ 2m cascade below culvert.,100,1.02,1,0.9,1.2,1.1,0.9,780,,,780,,,,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
501,Unt30400t.Schrader,201406.Unt30400t.Schrader,21-Jun-14,Un.named.tributary.30400.to.Schrader.Creek,Schrader Creek,2:20:00 PM,,,Massive debris flow at mouth. No out flow present 75m either side of mouth GPS point.,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,UNT30401.Schrader,201406.UNT30401.Schrader,21-Jun-14,UNT.30401,Schrader Creek,2:06:00 PM,,,Dry from mouth to road and dry above road,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,UNT304079Closertocol.Schrader,201406.UNT304079Closertocol.Schrader,21-Jun-14,UNT.30407.9..Closer.to.cold.spring,Schrader Creek,1:05:00 PM,,,above culvert on Schrader Creek road between Cold Spring and Rollinson Run.   Notes: Trib Splits @ 75M above the Mouth,100,2.5,1.8,1.7,3,3.1,2.9,800,,,800,,,,7,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
504,UNT30409.Schrader,201406.UNT30409.Schrader,21-Jun-14,UNT.30409,Schrader Creek,12:41:00 PM,,,Massive wetland with no defined outflow.,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Unt30420t.Schrader,201406.Unt30420t.Schrader,21-Jun-14,Un.named.tributary.30420.to.Schrader.Creek,Schrader Creek,11:14:00 AM,,,at the mouth,101,1.36,1.7,2.6,0.7,0.7,1.1,700,,,700,,,,22,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
506,UNT30422.Schrader,201406.UNT30422.Schrader,21-Jun-14,UNT.30422,Schrader Creek,10:28:00 AM,,,at  mouth  not enough water to shock well,100,0.18,0.2,0.1,0.2,0.3,0.1,810,,,810,,,,5,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
507,UNT30425.Schrader,201406.UNT30425.Schrader,21-Jun-14,UNT.30425,Schrader Creek,8:50:00 AM,,,west of schrader creek road,102,1.32,0.8,1.5,1.2,1.8,1.3,950,,,950,,,,14,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
508,UNT20043.Loyalsock,201406.UNT20043.Loyalsock,22-Jun-14,UNT.20043,Loyalsock Creek,9:30:00 AM,,,Lewis lumber property  Hillsgrove  Pa,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Coal.NorthBuffalo,201406.Coal.NorthBuffalo,25-Jun-14,Coal.Run,North Branch Buffalo Creek,11:30:00 AM,,,At rock culvert of Johnstown and Green Ridge Road,101,6.16,6.3,6.4,5.9,6.2,6,175,,,175,,,,15,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
510,Unt18002t.Penns,201406.Unt18002t.Penns,25-Jun-14,Un.named.tributary.18002.to.Penns.Creek,Penns Creek,8:30:00 AM,,,Behind snyder county tractor pull,101,2.96,5.2,3.5,1.1,1.3,3.7,210,,,210,,,,16,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
